                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.6686,                0.61656,                0.85781,                 0.7704,                 0.7742,                0.80589,                0.34096,                 1.8862,                0.72656,                0.92053,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.6535,                0.61355,                0.85796,                0.79263,                0.77961,                0.82041,                0.35347,                 1.7717,                0.71415,                0.89676,               0.000515,               0.000515,               0.000515
                     78,                 1.6572,                0.61286,                0.85252,                 0.7794,                0.77648,                0.81898,                0.35117,                 1.7853,                0.70938,                0.89808,              0.0004952,              0.0004952,              0.0004952
                     79,                  1.639,                0.60579,                0.85268,                0.78165,                0.77534,                0.82125,                0.35829,                 1.7242,                0.69409,                0.88536,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.6376,                 0.6084,                0.85647,                0.72252,                0.67654,                0.72271,                0.28822,                 1.8615,                0.74062,                0.89854,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.6339,                0.60479,                0.85294,                0.75136,                0.74943,                0.78307,                0.33258,                  1.749,                0.70566,                0.88734,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.6299,                 0.6025,                0.85106,                0.76024,                 0.7221,                0.77412,                0.31953,                 1.7854,                  0.696,                0.88998,               0.000416,               0.000416,               0.000416
                     83,                 1.6463,                0.60496,                0.85365,                0.72789,                0.74431,                0.77357,                0.31693,                 1.7577,                0.69619,                0.88842,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.6427,                0.61296,                0.85411,                0.73025,                0.72382,                0.75773,                0.31043,                  1.759,                0.69135,                0.88716,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.6091,                0.59464,                0.85132,                0.80766,                0.81492,                0.85701,                0.39586,                 1.6753,                0.65777,                0.88659,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.6223,                0.60699,                0.85523,                0.79948,                0.81397,                0.84982,                0.39037,                 1.6604,                0.66487,                0.88223,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5963,                0.59485,                0.84972,                0.81775,                0.83571,                0.86689,                0.40458,                 1.6556,                0.65354,                0.88317,               0.000317,               0.000317,               0.000317
                     88,                 1.5838,                0.59372,                0.85159,                0.78497,                0.80348,                0.83828,                 0.3713,                 1.6928,                0.66287,                0.88346,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5948,                0.58994,                0.84719,                0.78036,                0.77694,                 0.8199,                0.36019,                 1.6799,                0.65974,                0.87655,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.6027,                0.59496,                 0.8525,                0.77256,                0.78728,                 0.8209,                0.36507,                 1.6905,                0.66858,                0.88028,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5433,                0.58667,                0.85443,                0.74471,                0.76879,                0.79236,                0.34047,                 1.7215,                0.69956,                0.88205,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.5395,                0.58503,                0.85219,                0.76612,                0.76851,                0.80663,                0.33997,                 1.7419,                0.68947,                0.88447,               0.000218,               0.000218,               0.000218
                     93,                 1.5308,                0.58176,                0.85791,                0.76673,                0.78588,                 0.8191,                0.35201,                 1.7503,                0.69377,                 0.8856,              0.0001982,              0.0001982,              0.0001982
                     94,                  1.529,                   0.58,                0.85096,                0.78595,                 0.7653,                0.82006,                0.35675,                 1.7103,                0.68228,                 0.8802,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.5162,                0.57827,                0.85184,                0.79854,                0.79499,                0.83978,                0.37939,                 1.6981,                0.66956,                0.88232,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.5047,                0.57191,                0.85086,                0.78507,                0.78986,                0.83093,                0.37055,                 1.6748,                0.66743,                 0.8773,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.5071,                 0.5711,                0.84688,                0.80164,                0.80581,                 0.8479,                0.39081,                 1.6517,                0.65614,                0.87658,               0.000119,               0.000119,               0.000119
                     98,                 1.5294,                0.57271,                0.84824,                0.77738,                0.77392,                0.81902,                0.35428,                 1.7284,                0.67061,                0.88362,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.4909,                0.56556,                0.85374,                0.79901,                0.78502,                0.83928,                 0.3761,                 1.6776,                0.66229,                0.87967,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                  1.492,                0.56305,                0.85011,                0.79088,                0.79129,                0.83783,                0.37581,                 1.6792,                0.65855,                0.87882,               5.96e-05,               5.96e-05,               5.96e-05
